index,mean_test_acc,mean_val_loss,mean_val_loss_iteration,min_val_loss,min_val_loss_acc,min_val_loss_iteration,min_val_loss_per_pruned,patience,pruning_rate,round,strategy,super_winning_ticket_percentage,units_first_layer,units_second_layer,winning_ticket_percentage
18,18,0.9702166616916656,0.11368464678525925,4083.333333333334,0.1113896742463112,0.9702000021934508,3800.0,48.71,5,0.2,2,1,0.0,77,25,0.4
19,19,0.9688250124454498,0.11958558857440947,5450.0,0.11623667180538175,0.9695000052452089,5200.0,58.92,5,0.2,2,1,0.0,61,20,0.26666666666666666
20,20,0.964300000667572,0.1349559634923935,5140.0,0.12926632165908813,0.9652000069618224,4600.0,35.93,5,0.2,2,1,0.0,48,16,0.3333333333333333
21,21,0.9629399895668028,0.14492008090019226,5660.0,0.13955926895141602,0.963599979877472,6400.0,35.94,5,0.2,2,1,0.0,38,12,0.3333333333333333
22,22,0.9552333255608876,0.17079639931519827,6566.666666666668,0.168598935008049,0.9550999999046326,5700.0,67.11,5,0.2,2,1,0.0,30,9,0.4
23,23,0.9518000185489656,0.17861370742321014,6650.0,0.1762845516204834,0.9520000219345092,6900.0,35.94,5,0.2,2,1,0.0,24,7,0.13333333333333333
24,24,0.9769090955907648,0.08832997760989449,2354.5454545454545,0.0844622552394867,0.97680002450943,1600.0,83.07,5,0.2,3,1,0.7333333333333333,300,100,0.7333333333333333
25,25,0.976169228553772,0.0941698241692323,2969.230769230769,0.0885777622461319,0.977299988269806,1900.0,73.64,5,0.2,3,1,0.4,240,80,0.8666666666666667
26,26,0.9748000034264156,0.09433677047491074,3107.142857142857,0.08831717818975449,0.9768999814987184,3600.0,48.71,5,0.2,3,1,0.4666666666666667,192,64,0.9333333333333332
27,27,0.9713600039482116,0.09966918230056762,2460.0,0.09647849947214128,0.973699986934662,2300.0,78.87,5,0.2,3,1,0.2,153,51,0.3333333333333333
28,28,0.9721333384513856,0.09687197456757228,2933.333333333333,0.09255532920360564,0.9725000262260436,3400.0,73.64,5,0.2,3,1,0.13333333333333333,122,40,0.4
29,29,0.9719333251317342,0.1027641383310159,3833.333333333334,0.10061752051115036,0.9718999862670898,3600.0,67.1,5,0.2,3,1,0.0,97,32,0.4
30,30,0.9694285818508692,0.11622901793037142,3700.0,0.11266346275806427,0.9695000052452089,3700.0,48.71,5,0.2,3,1,0.0,77,25,0.4666666666666667
31,31,0.9674333135286968,0.12479951977729795,5200.0,0.1211959719657898,0.9679999947547911,5300.0,35.93,5,0.2,3,1,0.0,61,20,0.2
32,32,0.9652999937534332,0.12506601586937904,4700.0,0.124518521130085,0.9649999737739564,4700.0,58.92,5,0.2,3,1,0.0,48,16,0.13333333333333333
33,33,0.9610399961471556,0.13730898797512053,5940.0,0.13392865657806394,0.9628999829292296,6000.0,58.93,5,0.2,3,1,0.0,38,12,0.3333333333333333
34,34,,,,,,,,5,0.2,3,1,0.0,30,9,0.0
35,35,0.9495249837636948,0.19579456374049187,6725.0,0.1932346075773239,0.949899971485138,7600.0,35.94,5,0.2,3,1,0.0,24,7,0.26666666666666666
36,36,0.9756249984105428,0.09038113988935947,2458.333333333333,0.08388815820217133,0.976199984550476,2400.0,83.07,5,0.2,4,1,1.0,300,100,0.8
37,37,0.9753090901808306,0.08958120915022763,2409.090909090909,0.08573367446660995,0.9765999913215636,2800.0,73.64,5,0.2,4,1,0.7333333333333333,240,80,0.7333333333333333
38,38,0.9741909124634482,0.09091996537013487,2827.2727272727275,0.08796118199825287,0.9731000065803528,2700.0,78.87,5,0.2,4,1,0.5333333333333333,192,64,0.7333333333333333
39,39,0.973872721195221,0.0997951552271843,3281.818181818182,0.09724092483520508,0.973200023174286,3000.0,58.92,5,0.2,4,1,0.4,153,51,0.7333333333333333
40,40,0.9713272723284636,0.10230122980746356,3436.3636363636365,0.0982653945684433,0.9708999991416932,4500.0,86.41,5,0.2,4,1,0.0,122,40,0.7333333333333333
41,41,0.9708833197752634,0.1048141544063886,3650.0,0.10277706384658812,0.9711999893188475,3600.0,78.87,5,0.2,4,1,0.0,97,32,0.4
42,42,0.9701499938964844,0.11264323815703392,4050.0,0.10984621942043304,0.9692999720573424,3700.0,73.64,5,0.2,4,1,0.0,77,25,0.4
43,43,0.9670999901635308,0.11857275771243232,4342.857142857143,0.11425048857927322,0.9678999781608582,3400.0,48.7,5,0.2,4,1,0.0,61,20,0.4666666666666667
44,44,0.9637999832630156,0.1392679587006569,4250.0,0.13809047639369965,0.9639999866485596,4800.0,48.7,5,0.2,4,1,0.0,48,16,0.13333333333333333
45,45,0.9646000266075134,0.1320207118988037,4300.0,0.1320207118988037,0.9646000266075134,4300.0,58.93,5,0.2,4,1,0.0,38,12,0.06666666666666668
46,46,0.9575749933719636,0.15349144116044044,7875.0,0.15027324855327606,0.9559999704360962,6200.0,48.71,5,0.2,4,1,0.0,30,9,0.26666666666666666
47,47,0.9466666678587596,0.20122565825780234,8883.333333333334,0.19666865468025208,0.946399986743927,9200.0,19.97,5,0.2,4,1,0.0,24,7,0.4
48,48,0.9751999974250792,0.08799434502919515,2593.333333333333,0.08314129710197449,0.9757999777793884,2700.0,91.24,5,0.2,5,1,1.0,300,100,1.0
49,49,0.9751000006993612,0.08966819047927857,2866.666666666666,0.07887428998947144,0.9764999747276306,2900.0,58.93,5,0.2,5,1,0.9333333333333332,240,80,1.0
50,50,0.9757181785323404,0.09392698312347586,3100.0,0.08761226385831833,0.9763000011444092,2600.0,67.1,5,0.2,5,1,0.7333333333333333,192,64,0.7333333333333333
51,51,0.9732000033060708,0.09954483227597342,2744.444444444445,0.09313326328992844,0.9726999998092652,2800.0,58.92,5,0.2,5,1,0.6,153,51,0.6
52,52,0.9745000004768372,0.10349425673484802,5200.0,0.10349425673484802,0.9745000004768372,5200.0,48.71,5,0.2,5,1,0.2,122,40,0.06666666666666668
53,53,0.9718999862670898,0.10651466250419617,3900.0,0.10254214704036713,0.9721999764442444,2800.0,48.7,5,0.2,5,1,0.13333333333333333,97,32,0.26666666666666666
54,54,0.9688199877738952,0.1141063004732132,3260.0,0.11086245626211166,0.9700999855995178,2700.0,67.1,5,0.2,5,1,0.0,77,25,0.3333333333333333
55,55,0.9692000150680542,0.12176014482975005,4500.0,0.12176014482975005,0.9692000150680542,4500.0,48.7,5,0.2,5,1,0.0,61,20,0.06666666666666668
56,56,0.9635714377675738,0.13988498704774038,5028.571428571428,0.13498757779598236,0.9642000198364258,5700.0,58.92,5,0.2,5,1,0.0,48,16,0.4666666666666667
57,57,,,,,,,,5,0.2,5,1,0.0,38,12,0.0
58,58,,,,,,,,5,0.2,5,1,0.0,30,9,0.0
59,59,0.9503999948501588,0.189924031496048,8300.0,0.189924031496048,0.9503999948501588,8300.0,67.11,5,0.2,5,1,0.0,24,7,0.06666666666666668
60,60,0.976353842478532,0.0849569308070036,2823.0769230769233,0.07962595671415329,0.9764999747276306,2400.0,82.91,5,0.2,4,2,0.9333333333333332,300,100,0.8666666666666667
61,61,0.9752454486760226,0.0904389890757474,2500.0,0.08714559674263,0.975600004196167,2000.0,78.72,5,0.2,4,2,0.7333333333333333,240,80,0.7333333333333333
